latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
40.8022,PJM_WMAC,-75.1072,Gas,8,10.01388295,Existing NG-CC 1013,NG-CC,Existing,22909.217213732925,3784963.1512017706,31182215.612793166,SO X5
40.8396,PJM_EMAC,-74.025002,Gas,5,94.45324995,Existing NG-CC 126,NG-CC,Existing,20138.86713583091,3398660.867798953,264099476.6102588,SO X5
40.8396,PJM_EMAC,-74.025002,Gas,5,94.77943172,Existing NG-CC 127,NG-CC,Existing,58458.39857724257,9905717.090448473,683945278.9075866,SO X5
40.8396,PJM_EMAC,-74.025002,Gas,5,95.1056135,Existing NG-CC 125,NG-CC,Existing,20138.867135830467,3398660.867798868,265923541.66048402,SO X5
40.9282,PJM_WMAC,-76.0416,Gas,8,36.42868488,Existing NG-CT 637,NG-CT,Existing,100.64960251959651,12581.200372823103,354107.89890442276,SO X5
40.9282,PJM_WMAC,-76.0416,Gas,8,75.60402009,Existing NG-CT 639,NG-CT,Existing,87.30000000000013,10912.500050197525,629775.8529730202,SO X5
40.9282,PJM_WMAC,-76.0416,Gas,8,97.66540458,Existing NG-CT 638,NG-CT,Existing,87.90000000000009,10987.500050542518,819136.9199469632,SO X5
40.93,PJM_West,-84.73972,Gas,9,38.44904598,Existing NG-CT 572,NG-CT,Existing,156.6666664,19583.333390083335,485365.042807557,SO X5
40.93,PJM_West,-84.73917,Gas,9,32.0176362,Existing NG-CT 573,NG-CT,Existing,156.6666664,19583.333390083335,404177.5541815351,SO X5
40.93,PJM_West,-84.73917,Gas,9,32.47767447,Existing NG-CT 574,NG-CT,Existing,156.6666664,19583.333390083335,409984.88929013076,SO X5
41.201997,PJM_WMAC,-76.070093,Gas,8,10.61978306,Existing NG-CC 347,NG-CC,Existing,12351.849632013855,2058659.9442792544,16141226.639983492,SO X5
41.201997,PJM_WMAC,-76.070093,Gas,8,11.42180143,Existing NG-CC 346,NG-CC,Existing,12582.296227371671,2104546.5658706105,17762773.863227196,SO X5
41.20334,PJM_WMAC,-76.06848,Gas,8,24.75900568,Existing NG-CT 1089,NG-CT,Existing,91.80000000000013,11475.000052785026,233737.6640267417,SO X5
41.2908,PJM_PENE,-79.8061,Gas,6,4.256989655,Existing NG-CT 849,NG-CT,Existing,107.00000000000009,13375.000061525016,46842.40570341481,SO X5
41.2908,PJM_PENE,-79.8061,Gas,6,13.23055649,Existing NG-CT 846,NG-CT,Existing,53.50000000000004,6687.5000307625105,72792.17769047269,SO X5
41.2908,PJM_PENE,-79.8061,Gas,6,14.02616591,Existing NG-CT 847,NG-CT,Existing,53.50000000000004,6687.500030762509,77169.47975759486,SO X5
41.2908,PJM_PENE,-79.8061,Gas,6,30.35157488,Existing NG-CT 848,NG-CT,Existing,53.50000000000012,6687.500030762526,166988.98746402256,SO X5
41.2908,PJM_PENE,-79.8061,Gas,6,34.15560734,Existing NG-CT 850,NG-CT,Existing,53.50000000000011,6687.500030762512,187918.1000813137,SO X5
41.37778,PJM_ATSI,-83.1655,Gas,2,6.619972007,Existing NG-CC 1024,NG-CC,Existing,57966.21943145717,10145750.106503258,43503207.41117372,SO X5
