,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
12,1442.94,1428.04,467.16,1808.62,2946.11,3215.83,981.91,1580.58,0,0,0,0,0,0,0
13,1446.94,1446.84,435.24,1858.88,3071.93,3335.51,1012.67,1631.15,0,0,0,0,0,0,0
14,1461.31,1473.09,418.94,1914.17,3157.49,3535.41,1049.92,1738.17,0,0,0,0,0,0,0
15,1461.94,1481.7,416.66,1930.7,3205.28,3648.96,1085.77,1838.83,0,0,0,0,0,0,0
16,1487.15,1506.69,458.9,1989.69,3246.14,3772.3,1081.87,1901.62,0,0,0,0,0,0,0
17,1527.94,1524.79,538.42,2085.34,3311.71,3925.53,1112.12,1986.08,0,0,0,0,0,0,0
18,1557.24,1545.67,619.49,2168.03,3325.27,4040.83,1113.1,2042.59,0,0,0,0,0,0,0
19,1536.91,1527.98,662.72,2171.15,3222.84,3972.68,1093.46,2041.48,0,0,0,0,0,0,0
20,1539.93,1513.44,677.82,2157.89,3186.75,3933.43,1089.82,2040.53,0,0,0,0,0,0,0
21,1446.35,1445.33,648.6,2080.32,3080,3759.93,1045.28,1946.86,0,0,0,0,0,0,0
22,1339.27,1332.07,608.8,1945.7,2908.22,3481.15,979.12,1797.34,0,0,0,0,0,0,0
23,1230.72,1203.79,563.32,1788.44,2678.53,3153.7,907.07,1623.32,0,0,0,0,0,0,0
24,1146.21,1103.63,513.71,1654.22,2463.31,2853.46,828.27,1476.48,0,0,0,0,0,0,0
