datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,WEST,658.591
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,RTO,1162.542
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,RFC,902.009
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,MIDATL,258.869
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,SOUTH,287.159
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,WEST,778.625
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,RTO,1324.653
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,RFC,1037.494
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,MIDATL,317.362
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,SOUTH,276.828
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,WEST,763.681
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,RTO,1357.871
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,RFC,1081.043
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,MIDATL,422.465
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,SOUTH,299.256
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,WEST,910.846
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,RTO,1632.567
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,RFC,1333.311
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,MIDATL,533.554
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,SOUTH,302.963
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,WEST,1315.959
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,RTO,2152.476
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,RFC,1849.513
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,MIDATL,493.412
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,SOUTH,303.002
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,WEST,1755.393
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,RTO,2551.807
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,RFC,2248.805
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,MIDATL,564.666
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,SOUTH,294.120
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,WEST,2011.448
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,RTO,2870.234
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,RFC,2576.114
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,MIDATL,579.969
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,SOUTH,293.240
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,WEST,2477.488
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,RTO,3350.697
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,RFC,3057.457
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,MIDATL,562.718
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,SOUTH,291.087
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,WEST,3252.548
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,RTO,4106.353
